contract_category,contract_transaction_unique_key,contract_award_unique_key,award_id_piid,modification_number,recipient_name,recipient_uei,federal_action_obligation,total_dollars_obligated,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,transaction_description,prime_award_base_transaction_description,product_or_service_code,product_or_service_code_description,naics_code,naics_description,awarding_office_name,funding_office_name,usaspending_permalink
Supply Chain Intelligence,1301_-NONE-_1331L521P13160028_0_-NONE-_0,CONT_AWD_1331L521P13160028_1301_-NONE-_-NONE-,1331L521P13160028,0,CONFLICT ARMAMENT RESEARCH LTD.,G7TDA48DBRS2,120000.00,120000.00,2021-02-03,2021,2021-02-03,2022-02-28,PORTAL WEB TRACKING LICENSES,PORTAL WEB TRACKING LICENSES,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L521P13160028_1301_-NONE-_-NONE-/
Supply Chain Intelligence,1301_-NONE-_1331L521P13160034_0_-NONE-_0,CONT_AWD_1331L521P13160034_1301_-NONE-_-NONE-,1331L521P13160034,0,"SAYARI ANALYTICS, LLC",YZZ2MKYNW468,80000.00,80000.00,2021-02-09,2021,2021-02-09,2022-02-25,DATABASE LICENSE SUPPORT,DATABASE LICENSE SUPPORT,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),511210,SOFTWARE PUBLISHERS,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L521P13160034_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L522C13160033_0_-NONE-_0,CONT_AWD_1331L522C13160033_1301_-NONE-_-NONE-,1331L522C13160033,0,TENICA AND ASSOCIATES LLC,GNTSV97RVQM3,1134617.60,1134617.60,2022-09-13,2022,2022-09-13,2023-09-12,BIS EXPORT ADMINISTRATION ANALYSIS SUPPORT SERVICES,BIS EXPORT ADMINISTRATION ANALYSIS SUPPORT SERVICES,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,DEPT OF COMMERCE SSPO,BUREAU OF INDUSTRY AND SECURITY,https://www.usaspending.gov/award/CONT_AWD_1331L522C13160033_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L522C13160036_0_-NONE-_0,CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-,1331L522C13160036,0,"FEARLESS SOLUTIONS, LLC",YUZFZ7G7J7D3,150000.00,1705031.20,2022-09-02,2022,2022-09-06,2023-09-05,DIGITAL SERVICES -APPLICATION MODERNIZATION,DIGITAL SERVICES -APPLICATION MODERNIZATION,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L522C13160036_P23001_-NONE-_0,CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-,1331L522C13160036,P23001,"FEARLESS SOLUTIONS, LLC",YUZFZ7G7J7D3,1455031.20,1705031.20,2023-01-31,2023,2022-09-06,2023-09-05,DIGITAL SERVICES -APPLICATION MODERNIZATION,DIGITAL SERVICES -APPLICATION MODERNIZATION,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L522C13160036_P23002_-NONE-_0,CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-,1331L522C13160036,P23002,"FEARLESS SOLUTIONS, LLC",YUZFZ7G7J7D3,0.00,1705031.20,2023-09-05,2023,2022-09-06,2023-09-05,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),DIGITAL SERVICES -APPLICATION MODERNIZATION,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L522C13160036_P23003_-NONE-_0,CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-,1331L522C13160036,P23003,"FEARLESS SOLUTIONS, LLC",YUZFZ7G7J7D3,100000.00,1705031.20,2023-09-05,2023,2022-09-06,2023-10-05,DIGITAL SERVICES -APPLICATION MODERNIZATION,DIGITAL SERVICES -APPLICATION MODERNIZATION,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L522C13160036_1301_-NONE-_-NONE-/
Supply Chain Intelligence,1301_-NONE-_1331L522P13160038_0_-NONE-_0,CONT_AWD_1331L522P13160038_1301_-NONE-_-NONE-,1331L522P13160038,0,"SAYARI ANALYTICS, LLC",YZZ2MKYNW468,82800.00,82800.00,2022-03-23,2022,2022-04-01,2022-10-31,LICENSES,LICENSES,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,511210,SOFTWARE PUBLISHERS,DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L522P13160038_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L523C13160037_0_-NONE-_0,CONT_AWD_1331L523C13160037_1301_-NONE-_-NONE-,1331L523C13160037,0,AKIAK NS LLC,F9XLS9FEBWL5,2235776.80,2235776.80,2023-09-19,2023,2023-09-23,2024-09-22,EXPORT ADMINISTRATION SUPPORT,EXPORT ADMINISTRATION SUPPORT,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L523C13160037_1301_-NONE-_-NONE-/
Export Licensing System,1301_-NONE-_1331L523C13160037_P24001_-NONE-_0,CONT_AWD_1331L523C13160037_1301_-NONE-_-NONE-,1331L523C13160037,P24001,AKIAK NS LLC,F9XLS9FEBWL5,0.00,2235776.80,2024-02-09,2024,2023-09-23,2024-09-22,EXPORT ADMINISTRATION SUPPORT,EXPORT ADMINISTRATION SUPPORT,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",DEPT OF COMMERCE SSPO,DEPT OF COMMERCE BIS,https://www.usaspending.gov/award/CONT_AWD_1331L523C13160037_1301_-NONE-_-NONE-/
